SKUPARTNUMBER,SKU Name
O365_BUSINESS_ESSENTIALS,Microsoft 365 Business Basic
O365_BUSINESS_PREMIUM,Office 365 Business Premium
O365_BUSINESS_PREMIUM,Microsoft 365 Business Standard
OFFICESUBSCRIPTION,Office 365 ProPlus
OFFICESUBSCRIPTION,Microsoft 365 Apps For Enterprise
POWER_BI_ADDON,Power BI For Office 365 Add-On
POWER_BI_PRO,Power BI Pro
POWER_BI_STANDARD,Power BI (Free)
POWERAPPS_INDIVIDUAL_USER,Microsoft PowerApps And Logic Flows
POWERAPPS_PER_APP_IW,PowerApps Per App Baseline Access
POWERAPPS_PER_USER,Power Apps Per User Plan
POWERAPPS_VIRAL,Microsoft PowerApps Plan 2 Trial
POWERAUTOMATE_ATTENDED_RPA,Power Automate Per User With Attended Rpa Plan
POWERFLOW_P2,Microsoft PowerApps Plan 2
PROJECT_MADEIRA_PREVIEW_IW_SKU,Dynamics 365 Business Central For Iws
PROJECTCLIENT,Project For Office 365
PROJECTESSENTIALS,Project Online Essentials
PROJECTONLINE_PLAN_1,Project Online Premium Without Project Client
PROJECTONLINE_PLAN_2,Project Online With Project For Office 365
PROJECTPREMIUM,Project Online Premium
PROJECTPROFESSIONAL,Project Online Professional
RIGHTSMANAGEMENT,Azure Information Protection Plan 1
RIGHTSMANAGEMENT_ADHOC,Rights Management Adhoc
SHAREPOINTENTERPRISE,Sharepoint Online (Plan 2)
SHAREPOINTSTANDARD,Sharepoint Online (Plan 1)
SMB_APPS,Business Apps (Free)
SMB_BUSINESS,Office 365 Business
SMB_BUSINESS,Microsoft 365 Apps For Business
SMB_BUSINESS_ESSENTIALS,Office 365 Business Essentials
SMB_BUSINESS_ESSENTIALS,Microsoft 365 Business Basic
SMB_BUSINESS_PREMIUM,Office 365 Business Premium
SMB_BUSINESS_PREMIUM,Microsoft 365 Business Standard
SPB,Microsoft 365 Business
SPB,Microsoft 365 Business Premium
SPE_E3,Microsoft 365 E3
SPE_E3_USGOV_DOD,Microsoft 365 E3 (US Gov DOD)
SPE_E3_USGOV_GCCHIGH,Microsoft 365 E3 (US Gov GCC High)
SPE_E5,Microsoft 365 E5
SPE_F1,Microsoft 365 F3
SPZA_IW,App Connect
SPZA_IW,App Connect Iw
STANDARDPACK,Office 365 Enterprise E1
STANDARDPACK,Office 365 E1
STANDARDWOFFPACK,Office 365 Enterprise E2
STANDARDWOFFPACK,Office 365 E2
STREAM,Microsoft Stream Trial
TEAMS_COMMERCIAL_TRIAL,Microsoft Teams Commercial Cloud (User Initiated)
TEAMS_FREE,Microsoft Team (Free)
VISIOCLIENT,Visio Online Plan 2
VISIOONLINE_PLAN1,Visio Online Plan 1
WACONEDRIVEENTERPRISE,Onedrive For Business (Plan 2)
WACONEDRIVESTANDARD,Onedrive For Business (Plan 1)
WIN_DEF_ATP,Microsoft Defender Advanced Threat Protection
WIN10_PRO_ENT_SUB,Windows 10 Enterprise E3
WIN10_VDA_E5,Windows 10 Enterprise E5
WINDOWS_STORE,Windows Store
WINDOWS_STORE,Windows Store For Business
